judul,kategori,date,source
"Kiky Saputri: Terima Kasih 2,4 Juta Penonton Sudah Mendengar Desahan Neti",Film,"10/01/2020, 20:39 WIB",kompas.com
"Rizky Febian Lapor Polisi, Tedy Dicecar 15 Pertanyaan soal Mendiang Lina",Seleb,"10/01/2020, 20:37 WIB",kompas.com
"Solo Karier, Gamaliel Maksimalkan Potensi Diri",Musik,"10/01/2020, 20:29 WIB",kompas.com
Sheila Dara Ceritakan Sikap Keluarganya yang Protektif,Film,"10/01/2020, 20:23 WIB",kompas.com
Gamaliel Memanggil Masa Lalu untuk Lagu Forever More,Musik,"10/01/2020, 20:20 WIB",kompas.com
"Diperiksa 5 Jam, Tedi Suami Lina Ditanya soal Obat",Seleb,"10/01/2020, 20:11 WIB",kompas.com
Boy William Bersyukur Akhirnya Ikut Promosikan Imperfect,Film,"10/01/2020, 20:08 WIB",kompas.com
"Sule Mau Nikah Lagi, Tukul Arwana Doakan yang Terbaik",Seleb,"16/01/2020, 21:27 WIB",kompas.com
"Member Kena Gejala Flu, Red Velvet Batalkan Penampilannya di Korea Singers Festival 2020",Musik,"16/01/2020, 20:59 WIB",kompas.com
"Lama Sendiri, Begini Jawaban Tukul Arwana soal Nikah Lagi",Musik,"16/01/2020, 20:49 WIB",kompas.com
Keriuhan The Brandals di Rooftop Gigs...,Musik,"16/01/2020, 20:13 WIB",kompas.com
"Tiket Ludes Terjual dalam 60 Menit, Konser Kunto Aji Sempat Mau Pindah Tempat",Musik,"16/01/2020, 20:06 WIB",kompas.com
"Cari Properti di London untuk Rafathar, Nagita Slavina Mengeluh Harganya Mahal",Seleb,"16/01/2020, 19:43 WIB",kompas.com
Kiki Fatmala: Olahraga Rutin Manfaatnya Banyak Banget,Seleb,"16/01/2020, 19:09 WIB",kompas.com
Abimana Aryasatya Prihatin Belum Semua Film Bisa Dinikmati hingga Pelosok Indonesia ,Film,"16/01/2020, 18:34 WIB",kompas.com
Kiki Fatmala Ungkap Alasan Jarang Beredar di Dunia Hiburan,Seleb,"16/01/2020, 18:13 WIB",kompas.com
Widyawati Ungkap Kesedihan Setelah Raih Penghargaan APFF,Film,"16/01/2020, 17:56 WIB",kompas.com
"Menikah, Vanessa Angel dan Bibi Ardiansyah Bakal Gelar Resepsi di Bali",Seleb,"11/01/2020, 23:06 WIB",kompas.com
Asyik! Super Junior Janji Lebih Sering Datang ke Indonesia,Musik,"11/01/2020, 22:49 WIB",kompas.com
"3 Hari Diperiksa, Suami Lina Jubaedah Beberkan Pertanyaan Polisi ",Seleb,"11/01/2020, 21:39 WIB",kompas.com
"I'm All Ears, Dokumentasi 15 Tahun Perjalanan Musik Endah N Rhesa",Musik,"11/01/2020, 21:01 WIB",kompas.com
V dan Jungkook BTS Masuk Daftar 30 Pria Tertampan Dekade Ini,Seleb,"11/01/2020, 20:50 WIB",kompas.com
"Setelah Tujuh Tahun, Mona Ratuliu Hamil Anak Keempat",Seleb,"11/01/2020, 20:48 WIB",kompas.com
"BTS Jadi Grup Tersukses Ke-4 Dunia Versi Billboard, Satu-satunya dari Asia",Musik,"11/01/2020, 19:50 WIB",kompas.com
Ayah Benarkan Vanessa Angel dan Bibi Ardiansyah Sudah Ijab Kabul,Seleb,"11/01/2020, 17:30 WIB",kompas.com
"Donghae Super Junior: Hai Penggemar, Nama Saya Dimas!",Seleb,"11/01/2020, 17:21 WIB",kompas.com
